DEPARTAMENTO,SEXO_NOMBRE,TOTAL_MUERTES
RISARALDA,Mujer,2939
CALDAS,Hombre,3185
CUNDINAMARCA,Mujer,4904
CÓRDOBA,Mujer,3403
TOLIMA,Mujer,3508
CAUCA,Mujer,2302
CUNDINAMARCA,Hombre,6277
ANTIOQUIA,Hombre,18978
TOLIMA,Hombre,4580
ANTIOQUIA,Mujer,15481
"BOGOTÁ, D.C.",Hombre,20058
NARIÑO,Mujer,3542
CÓRDOBA,Hombre,4378
CAUCA,Hombre,3330
RISARALDA,Hombre,3653
ATLÁNTICO,Hombre,7779
NORTE DE SANTANDER,Hombre,4780
"BOGOTÁ, D.C.",Mujer,18679
VALLE DEL CAUCA,Mujer,12616
VALLE DEL CAUCA,Hombre,15820
HUILA,Hombre,3452
LA GUAJIRA,Hombre,1486
CALDAS,Mujer,2734
CESAR,Mujer,2244
BOLÍVAR,Mujer,4119
SUCRE,Mujer,1928
SANTANDER,Mujer,5464
BOLÍVAR,Hombre,4794
MAGDALENA,Hombre,2832
NORTE DE SANTANDER,Mujer,3510
LA GUAJIRA,Mujer,1142
SUCRE,Hombre,2351
CASANARE,Hombre,837
ARAUCA,Hombre,741
MAGDALENA,Mujer,2262
CAQUETÁ,Mujer,605
SANTANDER,Hombre,6430
HUILA,Mujer,2713
CESAR,Hombre,3122
META,Hombre,2860
BOYACÁ,Mujer,2698
ARAUCA,Mujer,423
"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",Hombre,148
ATLÁNTICO,Mujer,7025
QUINDÍO,Mujer,1706
QUINDÍO,Hombre,2241
NARIÑO,Hombre,4291
CHOCÓ,Hombre,732
CAQUETÁ,Hombre,1006
BOYACÁ,Hombre,3350
GUAVIARE,Hombre,185
CASANARE,Mujer,568
META,Mujer,2051
VAUPÉS,Hombre,48
PUTUMAYO,Hombre,524
PUTUMAYO,Mujer,294
CHOCÓ,Mujer,476
AMAZONAS,Mujer,65
VICHADA,Hombre,122
"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",Mujer,91
CÓRDOBA,Indeterminado,3
GUAVIARE,Mujer,55
GUAINÍA,Hombre,78
"BOGOTÁ, D.C.",Indeterminado,23
VICHADA,Mujer,66
BOYACÁ,Indeterminado,4
GUAINÍA,Mujer,37
AMAZONAS,Hombre,125
VAUPÉS,Mujer,39
MAGDALENA,Indeterminado,1
NARIÑO,Indeterminado,4
VALLE DEL CAUCA,Indeterminado,7
CUNDINAMARCA,Indeterminado,4
CAQUETÁ,Indeterminado,15
QUINDÍO,Indeterminado,1
CHOCÓ,Indeterminado,2
ANTIOQUIA,Indeterminado,14
CESAR,Indeterminado,2
RISARALDA,Indeterminado,2
PUTUMAYO,Indeterminado,1
BOLÍVAR,Indeterminado,2
GUAVIARE,Indeterminado,1
CAUCA,Indeterminado,1
TOLIMA,Indeterminado,2
SUCRE,Indeterminado,1
NORTE DE SANTANDER,Indeterminado,2
LA GUAJIRA,Indeterminado,1
